Time_seconds,Time_hours,Total_Cost,Nominal_Cost,Cost_First,Best_Cost
0,0.0,1.0,1.0,1.0,0.8
1,0.0002777777777777778,0.9,0.9,0.9,0.7
2,0.0005555555555555556,1.0,1.0,1.0,1.0
3,0.0008333333333333334,0.9,0.9,0.9,0.6
4,0.0011111111111111111,0.8,0.8,0.8,0.7
5,0.001388888888888889,2.8,0.8,0.8,0.7
6,0.0016666666666666668,1.0,1.0,1.0,0.6
7,0.0019444444444444444,0.9,0.9,0.9,0.6
8,0.0022222222222222222,0.9,0.9,0.9,0.9
9,0.0025,1.0,1.0,1.0,0.9
10,0.002777777777777778,0.8,0.8,0.8,0.8
11,0.0030555555555555557,0.7,0.7,0.7,0.7
12,0.0033333333333333335,1.0,1.0,1.0,0.7
13,0.003611111111111111,3.0,1.0,1.0,0.6
14,0.0038888888888888888,0.8,0.8,0.8,0.6
15,0.004166666666666667,0.8,0.8,0.9,0.6
16,0.0044444444444444444,0.9,0.9,1.0,0.7
17,0.004722222222222222,0.9,0.9,0.9,0.7
18,0.005,2.9,0.9,1.0,0.6
19,0.005277777777777778,1.0,1.0,1.0,0.9
20,0.005555555555555556,0.8,0.8,0.9,0.6
21,0.005833333333333334,0.9,0.9,0.9,0.8
22,0.006111111111111111,3.0,1.0,1.0,1.0
23,0.006388888888888889,0.9,0.9,1.0,0.6
24,0.006666666666666667,3.0,1.0,1.0,0.9
25,0.006944444444444444,0.8,0.8,0.8,0.7
26,0.007222222222222222,0.9,0.9,0.9,0.7
27,0.0075,1.0,1.0,1.0,0.7
28,0.0077777777777777776,2.9,0.9,0.9,0.7
29,0.008055555555555555,1.0,1.0,1.0,0.9
30,0.008333333333333333,0.7,0.7,0.8,0.5
31,0.008611111111111111,0.8,0.8,0.9,0.5
32,0.008888888888888889,1.0,1.0,1.0,0.7
33,0.009166666666666667,0.7,0.7,0.8,0.3
34,0.009444444444444445,0.7,0.7,0.8,0.5
35,0.009722222222222222,0.9,0.9,1.0,0.8
36,0.01,0.9,0.9,1.0,0.6
37,0.010277777777777778,2.9,0.9,0.9,0.8
38,0.010555555555555556,2.7,0.7,0.9,0.5
39,0.010833333333333334,0.8,0.8,0.8,0.7
40,0.011111111111111112,2.8,0.8,1.0,0.7
41,0.01138888888888889,3.0,1.0,1.0,0.7
42,0.011666666666666667,2.9,0.9,0.9,0.7
43,0.011944444444444445,1.0,1.0,1.0,0.8
44,0.012222222222222223,2.9,0.9,0.9,0.5
45,0.0125,3.0,1.0,1.0,0.6
46,0.012777777777777779,2.9,0.9,1.0,0.8
47,0.013055555555555556,2.9,0.9,0.9,0.5
48,0.013333333333333334,2.8,0.8,0.9,0.5
49,0.01361111111111111,2.9,0.9,0.9,0.7
50,0.013888888888888888,3.0,1.0,1.0,0.9
51,0.014166666666666666,0.7,0.7,0.8,0.7
52,0.014444444444444444,1.0,1.0,1.0,0.9
53,0.014722222222222222,3.0,1.0,1.0,0.7
54,0.015,1.0,1.0,1.0,0.8
55,0.015277777777777777,2.8,0.8,1.0,0.6
56,0.015555555555555555,3.0,1.0,1.0,0.8
57,0.015833333333333335,3.0,1.0,1.0,0.8
58,0.01611111111111111,2.9,0.9,1.0,0.9
59,0.01638888888888889,1.0,1.0,1.0,0.9
60,0.016666666666666666,0.9,0.9,0.9,0.7
61,0.016944444444444446,0.9,0.9,1.0,0.5
62,0.017222222222222222,3.0,1.0,1.0,1.0
63,0.0175,3.0,1.0,1.0,0.8
64,0.017777777777777778,0.8,0.8,0.9,0.5
65,0.018055555555555554,1.0,1.0,1.0,0.7
66,0.018333333333333333,0.9,0.9,0.9,0.8
67,0.01861111111111111,0.7,0.7,0.9,0.6
68,0.01888888888888889,2.9,0.9,0.9,0.8
69,0.019166666666666665,2.8,0.8,0.9,0.5
70,0.019444444444444445,0.9,0.9,1.0,0.7
71,0.01972222222222222,0.8,0.8,0.9,0.8
72,0.02,0.8,0.8,0.8,0.5
73,0.020277777777777777,1.0,1.0,1.0,0.9
74,0.020555555555555556,3.0,1.0,1.0,0.9
75,0.020833333333333332,2.8,0.8,0.8,0.7
76,0.021111111111111112,2.8,0.8,0.8,0.8
77,0.021388888888888888,1.0,1.0,1.0,0.9
78,0.021666666666666667,3.0,1.0,1.0,0.8
79,0.021944444444444444,1.0,1.0,1.0,0.8
80,0.022222222222222223,3.0,1.0,1.0,0.9
81,0.0225,2.9,0.9,0.9,0.8
82,0.02277777777777778,0.9,0.9,0.9,0.7
83,0.023055555555555555,0.9,0.9,0.9,0.9
84,0.023333333333333334,0.9,0.9,0.9,0.8
85,0.02361111111111111,0.9,0.9,0.9,0.7
86,0.02388888888888889,0.9,0.9,0.9,0.8
87,0.024166666666666666,0.9,0.9,0.9,0.8
88,0.024444444444444446,0.9,0.9,0.9,0.7
89,0.024722222222222222,1.0,1.0,1.0,0.7
90,0.025,2.9,0.9,0.9,0.7
91,0.025277777777777777,3.0,1.0,1.0,0.7
92,0.025555555555555557,2.9,0.9,0.9,0.9
93,0.025833333333333333,0.8,0.8,0.8,0.7
94,0.026111111111111113,0.9,0.9,1.0,0.7
